disease_name,age_range,gender,body_parts,symptoms,treatment,url
Liver cancer,,Both men and women but more common in men,"Liver
Metastasis to other body parts","Yellowing of the skin and eyes (jaundice), Tiredness or weakness, Fever, Unexplained weight loss, Loss of appetite or feeling full after eating small amounts, Dark urine, Diarrhea, Quality cancer care should be a priority. At Tata 1mg, we provide the support, resources, and guidance you need at every step. Explore The Platform, Liver cancer may not cause symptoms in its early stages. As the cancer progresses, the following symptoms may develop:, Nausea and vomiting, Pain on the upper-right side of the abdomen. The pain may be dull and persistent or sharp and intermittent., Pale stools, Enlarged spleen or spleen, Easy bruising or bleeding, Itching, Swelling or fluid build-up in the abdomen (ascites)",,https://www.1mg.com/diseases/liver-cancer-307
Gaucher disease,,Both men and women,"Spleen
Liver
Bones","People with Gaucher disease can experience a wide range of symptoms, which vary from person to person. Some may have mild or no symptoms, while others may develop serious health problems., Galactosemia is a rare genetic condition—but it’s not the only one. Ever wondered what makes a disease “rare” and why early awareness and care matter so much?  Read Here, Respiratory problems (rarely due to fat buildup in the lungs), Osteopenia and osteoporosis increase fracture risk, Developmental delays, feeding problems (infants), Eye movement issues, epilepsy (or seizures), muscle spasms, Cognitive difficulties, poor coordination, Blood and organ-related symptoms:, Enlarged spleen and liver (causing swollen belly), Bone and joint-related symptoms:, Neurological symptoms (Types 2 and 3), Osteonecrosis (bone tissue dying due to low oxygen), Low platelet count, causing easy bruising or bleeding, Joint pain and arthritis, Anemia causing tiredness, Persistent bone pain or sudden “bone crises”",The main treatment options include:,https://www.1mg.com/diseases/gaucher-disease-1058
Testicular cancer,,Men,Testicles,"Feeling a lump or swelling in either testicle, Feeling of heaviness in the scrotum, Testicular atrophy (shrinking of the testicles), Shortness of breath, chest pain, and blood in sputum or phlegm (when cancer has spread to the lungs), Enlargement or tenderness of the breasts, Experiencing a dull ache in the abdomen or groin region, Collection of fluid in the scrotum, Headaches and confusion in case the tumour spreads to the brain., Testicular cancer can cause several symptoms that affect your health. It is possible to experience more than one symptom at the same time. These include:, Lower back pain, Experiencing pain or discomfort in one testicle or the scrotum, Swelling of one or both legs or shortness of breath due to a blood clot, Quality cancer care isn’t something to leave to chance, and you don’t have to go through it alone. At Tata 1mg, we're here to support you with trusted resources, expert guidance, and everything you need at every step. Explore Our Platform",,https://www.1mg.com/diseases/testicular-cancer-300
Piles,,Both men and women,"Anus
Rectum","Many people do not initially realize that they have piles because of not experiencing any symptoms. When symptoms occur, patients may have:",,https://www.1mg.com/diseases/piles-48
Emotional eating,,Both men and women but more common in women,Brain,"Eating despite feeling physically full, Sudden urge to eat, often soon after a meal, Common signs and symptoms of emotional eating, Develops gradually, Caused by physical cues such as an empty stomach, Often satisfied only by certain “comfort” foods., People who engage in emotional eating often use food as a way to cope with or soothe their feelings. Distinguishing true hunger from emotional hunger is important to understand the triggers., Comes on suddenly and feels urgent, Emotional hunger, A strong mind helps you pause, reflect, and choose healthier ways to cope instead of turning to food when emotions hit. Strengthen your mind, not your cravings. Explore our widest range of products to manage your emotions. Try Ayurvedic Mind Care, Can be satisfied by a variety of foods, Occasionally, hiding or eating food in secret due to embarrassment., True hunger, Strong cravings for specific high-calorie or “comfort” foods, Turning to food when experiencing emotions such as stress, sadness, boredom, anxiety, loneliness, or frustration, Eating at irregular times without physical hunger, Triggered by a specific emotion, situation, or event, Feeling guilt, shame, or regret after eating",,https://www.1mg.com/diseases/emotional-eating-981
Deep vein thrombosis,,Both men and women,"Legs 
Calves
Thighs","Swelling usually occurs in one leg, Pain or tenderness in the leg, often starting in the calf, Leg fatigue or heaviness, Leg ulcers or sores, Visible surface veins are becoming more prominent., Warmth over the affected area, A D-dimer blood test can help detect early signs of abnormal clotting, making it a useful first step in checking for DVT. Noticing these signs? Book a D-dimer test on Tata 1mg and get accurate results from trusted labs. Get Tested, Red or discolored skin, Deep Vein Thrombosis (DVT) may develop silently, but when symptoms occur, they often affect just one leg. Common symptoms can include:",,https://www.1mg.com/diseases/deep-vein-thrombosis-84
Vaginal yeast infection,,Women,Vagina,"Yeast infection in the vagina leads to abnormal vaginal discharge (thick, white, odor-free vaginal discharge with a cottage cheese appearance), Pain during sexual intercourse, White, and thick discharge that resembles cottage cheese, Persistent or many yeast infections per year, Rash, Watery vaginal discharge, The symptoms can range from mild to moderate and some of the common symptoms of yeast infection are:, Swollen or irritated vaginal tissue, The severity of symptoms depends on the length of the untreated period. In other words, if you leave it without any treatment for a long period it may have a negative effect and lead to more serious health problems such as:, Itching or soreness of the vagina, If it is left untreated or if you have any risk factors, it can lead to a complicated yeast infection with symptoms such as:, Redness and swelling, Pain or burning when urinating, Itching leading to cracks, tears, or sores, Itching and irritation, Vaginal rash","The treatment for yeast infection depends on the age, overall health, and how widespread the infection is, and other factors to determine your treatment. It also depends on whether the infection is simple or complicated.

Simple infections are typically cleared up in a week using easily accessible oral or vaginal antifungal medications while complicated yeast infections should be treated with help of a general practitioner. A course of antifungal cream and medications is required for 7 to 14 days. The treatment aims at:",https://www.1mg.com/diseases/vaginal-yeast-infection-932
Heat Exhaustion,,Both men and women,,"Fatigue, weakness, Muscle cramps, Learn more about managing heat-related illnesses from our expert doctor. Watch them share a recipe for making an Oral Rehydration Solution (ORS) at home. Tap Here, Common symptoms of heat cramps include:, Decreased urine output, Complaints of stomach or leg cramps (if old enough), Cramps in the arms, legs and stomach, Diarrhea, Unusual thirst, Extreme thirst, Excessive fatigue, Pale, moist skin, Anxiety, and faint feeling, Signs of heat exhaustion in children:, Mild confusion, Fever over 100.4°F (or 38°C), Headache and dizziness, While both conditions stem from excessive heat exposure, they vary in severity and symptoms. Heat stroke constitutes a medical emergency, triggered by the body's inability to regulate its internal temperature. Conversely, heat exhaustion results from a significant loss of water and salt through sweating, often leading to dehydration., Nausea or vomiting","Heat exhaustion, if left unaddressed, can escalate to heatstroke, necessitating prompt and effective intervention. Understanding the progression and severity of this condition is crucial for appropriate management.",https://www.1mg.com/diseases/heat-exhaustion-1028
Latex Allergy,,Both men and women,,,,https://www.1mg.com/diseases/latex-allergy-1025
Heart Failure,,Both men and women but common in men,Heart,"Breathlessness, Confusion, Chest pain can be mistaken for heartburn or a heart attack, but they’re not the same. Read this article to learn the key differences and when to seek medical help. Click Here, Tiredness or fatigue, Increased heart rate, Dizziness, Persistent cough and wheezing, Loss of appetite, Swelling of feet, ankles, and legs, The symptoms of heart failure may start suddenly or progress gradually over weeks or months. The most common symptoms of heart failure and their reasons are listed below:",The risk of heart failure can be lowered by home-based lifestyle modifications like diet and exercise. Along with these treatment of heart failure consists of:,https://www.1mg.com/diseases/heart-failure-75
Vertigo,,Both men and women but more common in women,"Ear
Brain
Vestibular Nerve","Headaches, Increased sweating, Abnormal or jerky eye movements called nystagmus, Vertigo is not a disease but a symptom of an underlying condition. Symptoms can range from mild to severe, and vary from person to person depending on the cause of vertigo. Vertigo can also lead to or occur alongside other symptoms:, A sensation of dizziness or swaying, Giddiness or feeling faint, A sensation of nausea that may or may not be accompanied by vomiting, Ringing in the ears or pain in the ears, or loss of hearing, A feeling of fullness in the ear, When a person feels he/she is spinning or the world around him/her is spinning, A feeling of abnormal balance or a loss of balance","Often, episodes of vertigo are mild and resolve on their own without requiring treatment. In case the attacks do not go away or are so severe that they interfere with a patient’s day-to-day activities, treatment is needed. The treatment for vertigo depends on the cause and severity of the symptoms.",https://www.1mg.com/diseases/vertigo-209
Bulimia nervosa,,Both men and women but more common in women,"Stomach
Intestine
Brain
Kidney
Heart","Dehydration, Constipation, Peculiar eating habits or rituals, Anxiety, Self induced vomiting, Eating large amount of food at once, Acid reflux, Trying to lose weight by vomiting, exercising, dietary supplements, herbal products, or fasting after overeating, Tiredness, Intense unhappiness with self body shape and size, Low self-esteem, Restricting calories between binge eating, Dental problems due to erosion of enamel from vomiting, Depression, Inappropriate use of laxatives or diuretics, Swollen cheeks or jaw line, Are you just overeating occasionally or is it an eating disorder? Find Out Now!, Irregular or absence of menstruation, Being obsessive about food and weight, Loss of control during eating, Fear of gaining weight, The typical symptoms of bulimia nervosa include:, Feelings of helplessness, Sore throat",The primary goal of therapy is to inhibit the two key symptoms of bulimia nervosa which are binge eating and purging.,https://www.1mg.com/diseases/bulimia-nervosa-870
Depression,,"Both men and women, but, more common in women",Brain,"Loss of interest or pleasure in activities once enjoyed, Inability to move or speak, Anxiety, Difficulty concentrating, thinking, or making decisions, Sleep disturbances like insomnia or hypersomnia, Irritability instead of sadness, Changes in appetite or weight, Recurrent thoughts of death or suicide, Feelings of worthlessness or excessive guilt, Social withdrawal, Hopelessness or persistent negative thinking, Low self-esteem or excessive self-criticism., Depression can develop gradually or suddenly and may affect emotions, thinking, physical health, and daily functioning. Common symptoms can include:, Psychotic symptoms like hallucinations and delusions, Persistent low mood, like sadness and emptiness, Physical aches and pains without a clear cause, Fatigue or tiredness, Loss of libido, Depression is treatable, and early actions can make a big difference. After talking to your doctor, you can explore supportive products that may help you along your recovery journey. Browsw Mind Care Range, Severe or urgent warning signs:, Symptoms in children and adolescents:, Decline in school performance, Suicide attempt, Increased irritability or anger",,https://www.1mg.com/diseases/depression-148
Hypoglycemia (low blood sugar),,Both men and women,"Brain
Kidney 
Liver","Dizziness/lightheadedness, Loss of consciousness, Anxiety, Feeling irritated or foggy after waking up, Crying out or having nightmares, Increased irritability, Sweating, Note: If hypoglycemia is severe and prolonged, it can be life threatening.  You can also experience a drop in glucose levels during your sleep. This results in low blood sugar that lasts for several hours and can cause serious issues. Even if you don't wake up or notice these signs, low blood glucose levels can interfere with your sleeping pattern and affect your quality of life, work, and mood. Low blood sugar during sleep makes it tougher to notice the signs and symptoms of low blood glucose during the day. These symptoms include:, Hunger, Heart palpitations, Low blood glucose level presents different symptoms from person to person. It tends to come quickly and can worsen if not treated in time. These symptoms include:, Tiredness, Feeling confused, Feeling shaky or having jitters, Seizures, Sweating through your clothes or leaving your sheets damp, Unsteady heartbeat, Prolonged hypoglycemia can affect brain functioning since the brain will stop receiving optimal glucose levels. This is a severe condition and needs immediate treatment. The symptoms include:, Unable to see or speak properly","Hypoglycemia can be managed through various methods. The best approach is decided on an individual's age, overall wellbeing, symptoms, underlying cause, and severity of the disorder.",https://www.1mg.com/diseases/hypoglycemia-low-blood-sugar-875
Tonsilitis,,Both men and women but is more common in women.,"Tonsils
Throat
Tongue
Lymph Nodes","Fever (≦ 38℃), Buy tonsil products online, Mouth ulcers, Decreased appetite, Difficulty in swallowing, Fatigue, Lymph node swellings, White or yellow coating on the tonsils, Strawberry tongue, Note: Typically there is an absence of symptoms of a viral upper respiratory infection like conjunctivitis, runny nose, or cough., The symptoms of tonsillitis generally occur suddenly and they may include, Swelling and redness of the tonsils, Bad breath, Sore throat, Rashes on the roof of the mouth, Don’t suffer from these symptoms. Rather, get some relief with our widest range of products to soothe your tonsils.","The treatment of tonsillitis depends on whether the infection is viral or bacterial. Tonsillitis is very common, it can be managed with proper rest and medications. The management consists of the following:",https://www.1mg.com/diseases/tonsilitis-545
Flatulence (gas formation),,Both men and women,"Esophagus
Stomach
Intestine
Brain","Changes in bowel habits, Heartburn, Tummy Troubles? Check out our widest range of stomach care products to find solutions to all your digestive problems. Explore Now, While occasional flatulence is normal, excessive or foul-smelling gas can be associated with various symptoms. The most obvious symptom of flatulence is the release of gas from the anus. This can occur quietly or with sound, and the frequency varies among individuals., Abdominal pain, A feeling of incomplete bowel movements, Some other symptoms that are associated with flatulence:, Foul odor, Abdominal rumbling, Belching ( excessive burping), Indigestion, Bloating","The treatment of flatulence involves addressing the underlying causes, adopting lifestyle modifications, and sometimes incorporating medical interventions. Here are various approaches to managing and treating flatulence:",https://www.1mg.com/diseases/flatulence-gas-formation-774
Parkinson's disease,,Both men and women but more common in men,"Brain
Spinal cord","Excessive sweating, Constipation, Rapid eye movement (REM) behaviour disorder and restless legs syndrome., Early detection is crucial for better management and quality of life. Consult Our Specialists, Postural instability: Imbalance and changes in posture increase the risk of falls., Drooling (excessive production of saliva), Swallowing problems, Insomnia or sleep disturbances, Dementia – a group of symptoms, including more severe memory problems and  personality changes, Mental health disorders like anxiety and depression, Speech may become soft or quick with a slur or hesitation before talking., Loss of sense of smell, Slowness of movement (bradykinesia):  The physical movements are much slower than usual, which can make everyday tasks difficult and shuffling walk with tiny steps, Some of the common symptoms of Parkinson's disease are:, PD varies in its progression and symptoms. It often starts on one side of the body before affecting both sides. Some other symptoms range from physical and mental symptoms include:, Let's break it down: Alzheimer's disease is a specific type of Dementia characterized by memory loss and cognitive decline. Dementia, however, is a bigger category, like a puzzle with many pieces, that includes many conditions where thinking and memory are affected. Parkinson's disease primarily involves movement-related symptoms but can also lead to Parkinson's Dementia, where movement problems come with memory issues., Blurred vision and dizziness while sitting, Balancing issues with high rates of falls and injuries., The symptoms of Parkinson's disease usually develop gradually and are mild at first. There are many different symptoms associated with Parkinson's disease, and the severity is different for each individual., Writing may become challenging and may appear small., Tremors (Shaking): These usually begin in the hand or arm and are more likely to occur when the limb is relaxed and resting., Muscle stiffness (rigidity): Stiffness and tension are very common in the muscles, which makes it challenging to move around and make facial expressions and results in painful muscle cramps (dystonia), Erectile dysfunction in men, Cognitive issues like memory loss, trouble concentrating, and changes in mood or behavior.","Currently, there is no cure for Parkinson's disease, but following treatment options are available to help relieve the symptoms and maintain the quality of life.",https://www.1mg.com/diseases/parkinsons-disease-165
Phenylketonuria,,Both male and female,Brain,"Developmental delay by 6–12 months, Symptoms of phenylketonuria usually aren’t present at birth and develop gradually if the condition is left untreated., Musty or “mousy” odour from urine, breath, or skin, In infants and young children, Hyperactivity or irritability, Fair skin, light hair, and blue eyes (due to reduced melanin production), Tremors, or jerky movements, Severe intellectual and learning disabilities, In children and adults (if untreated or poorly controlled), Small head size (microcephaly), Normal appearance at birth, with symptoms starting after a few months, Skin rashes such as eczema, Behavioural and social difficulties, Seizures (which may progress to epilepsy if untreated), Poor concentration and mood changes, Poor feeding and loss of interest in surroundings, Slow growth",The main goal of PKU treatment is to keep blood phenylalanine (Phe) levels within a safe range. This helps prevent intellectual disability and other long-term complications.,https://www.1mg.com/diseases/phenylketonuria-1074
Stomach cancer,,Both men and women but more common in men,"Stomach
Liver
Lungs","Trouble swallowing, Jaundice (yellowing of eyes and skin), The symptoms are generally based on the stage of cancer. They include:, Vomiting, Anemia, Indigestion and stomach discomfort, Stomach pain, Mild nausea, Ascites (build-up of fluid in the abdomen), Enlargement of the liver, Acidity, Feeling full even after eating small amounts of food, Loss of appetite, Blood in stools, Are you or your loved ones diagnosed with cancer? Empower your journey. Join our cancer care program today for comprehensive support and guidance on your path to healing and wellness. Explre Cancer Care Platform, Weight loss for no known reason, Bloating",,https://www.1mg.com/diseases/stomach-cancer-219
Ascites,,Both men and women,"Liver
Abdomen
Lungs","Swelling in the lower legs, Shortness of breath, Ascites can cause several symptoms that can affect your health. It is possible to experience more than one symptom at the same time., Constipation, Vomiting, Difficulty in sitting, Digestive issues, Weight gain, Sense of heaviness, Back pain, Swelling of the abdomen, Nausea, Sense of fullness, Fatigue, Indigestion, Bloating",There are different treatment modalities for ascites which include:,https://www.1mg.com/diseases/ascites-922
Allergic conditions,,Both men and women but more common in women,"Immune system
Skin
Lungs
Eyes","Difficulty breathing, Pain, swelling, and redness at the site, In severe cases, it can also cause anaphylaxis, Loss of consciousness, Swelling of the tongue, Itching all over the body, Skin rash, It may also cause the skin to become flaky and peel off., Puffy eyes, 2. Allergic conjunctivitis: When an allergen enters the eye and irritates the conjunctival lining, it may cause the following symptoms:, Wheezing, 5. Respiratory allergy: Allergic rhinitis and asthma are types of respiratory allergies. Symptoms of respiratory allergies are:, Runny nose, 6. Medicinal allergy: Certain medications can trigger an allergic reaction and cause symptoms like:, Tingling in the mouth, Cough, Puffing of the face, Itching or burning sensation of the eyes, Weak and thready pulse, In severe cases, it can cause anaphylaxis, Skin itching, Extreme difficulty while breathing, Redness in the eyes, Anaphylactic shock, Severe drop in blood pressure, Swelling of the face and body, Anaphylaxis, in severe cases, 4. Insect allergy: An insect sting can cause allergic symptoms like:, Chest tightness, Shortness of breath, Coughing, Chest tightness and wheezing, 3. Food allergy: Consuming foods that cause allergy can cause symptoms such as:, There are many different types of allergies, each of them present with different symptoms, such as  1. Skin allergy: Also known as ‘atopic dermatitis’ or eczema, it can cause symptoms like:, Excessive watering of the eyes, Swelling of the lips, Changes in vision, Nausea, Redness, itchiness, and pain in the parts of the skin exposed to the allergen.",The treatment for an allergic reaction aims to provide symptom relief and long-term management for desensitization of the immune system.,https://www.1mg.com/diseases/allergic-conditions-10
Tiredness,,Both men & women,Whole body,"Breathlessness, Confusion, Headaches, Not feeling refreshed even after taking ample rest., Muscle weakness and muscle aches, Tiredness may also be associated with other symptoms such as -, A lack of motivation or enthusiasm for day-to-day activities., Tiredness can happen to anyone. Tiredness in itself is a symptom best described as -, Dizziness, Not having enough energy to perform routine activities., Feeling drained out or low on energy after performing simple tasks., Feeling sleepy all the time., Mood-swings and irritability","In most cases, the treatment of tiredness is aimed at improving the diet and lifestyle of the patient. This includes eating a diet rich in nutrients, ensuring 8 hours of sleep, exercising to stay active and maintaining overall physical and mental well being. In some cases, psychological therapy is required to improve the symptoms if there is some underlying mental health issue. After evaluation, the doctor may recommend weekly or fortnightly charts to assess improvement in symptoms and change in treatment plan if required.",https://www.1mg.com/diseases/tiredness-903
Neonatal Jaundice,,Both men and women,"Sclera of the eyes
Palms of hands 
Soles of feet","Always examine the baby in good lighting conditions, most preferably the natural daylight. Read more about 5 essential tips to keep your baby healthy. Tap To Read!, Yellow mustard color (normal) to light beige stool., Very light yellow or very dark brown urine., Babies who are born premature (too early) are more likely to develop jaundice than full-term babies. The main sign is yellowing of the skin and the whites of the eyes which usually appears between the second and fourth day after birth. Bilirubin levels typically peak between the third and seven days after birth.  To check for jaundice in the newborn, press gently on your baby's forehead or nose. The sign of jaundice is the skin looks yellow in the area that was pressed, in case of mild jaundice. If the baby doesn't have jaundice, the skin color should simply look slightly lighter than its normal color for a moment.  Along with the skin becoming yellow, other symptoms that are quite rare include:","Treatment is usually only needed in babies with high levels of bilirubin in the blood. Usually, the condition gets better within 10 to 14 days and will not cause any harm to the baby. 

The treatments are recommended to reduce the risk of a rare but serious complication of newborn jaundice and kernicterus, which can cause brain damage. If the baby's jaundice does not improve over time, or tests show high levels of bilirubin in their blood, they may be treated with the following:",https://www.1mg.com/diseases/neonatal-jaundice-929
Diarrhea,,Both men and women,Stomach,"Nausea or vomiting, Abdominal cramps or pain, Diarrhea is typically defined as having more than three loose or watery bowel movements in 24 hours. It is often accompanied by:, Dehydration with dry mouth (xerostomia), dizziness, and tiredness., Explore effective diarrhea relief products and rehydration support to help you feel better faster. Shop Now, Fever (sometimes), Urgent need to use the toilet, Bloating",,https://www.1mg.com/diseases/diarrhea-49
Meningitis,,Both men and women,,"Sleepiness or difficulty waking up, Confusion or altered mental status, Nausea and vomiting, Bulging fontanelle (soft spot on the head), High-pitched crying, Skin rash (especially with meningococcal meningitis), Stiff body or floppy limbs, Vomiting, Irritability or lethargy, Difficulty waking or low responsiveness, Rapid breathing, Cold hands and feet, pale or mottled skin, Seizures, High-grade fever, Stiff neck, Poor feeding, Cold hands and feet, Severe headache, Early symptoms of meningitis may mimic flu-like (influenza) symptoms and may develop over several hours or a few days., Note: Infants may not show classic signs like neck stiffness, so vigilance is important., Sensitivity to light (photophobia)",,https://www.1mg.com/diseases/meningitis-913
Fistula,,Both men and women,"Anus
Cervix
Lung
Heart
Rectum
Vagina
Uterus
Stomach
Brain
Colon
Urinary bladder","Body pain, Fever, Vomiting, Constipation, Diarrhea, Pain around the anus, Abdominal pain, Frequent urinary tract infection, Symptoms vary depending upon where the fistula is located. They range from mild to serious ones. Most commonly, there will be no specific symptom until the condition becomes more advanced. However, some individuals experience one or two symptoms only. But others might develop multiple symptoms simultaneously.   Some of the commonly observed symptoms of fistula are:, Weight loss, Constant urine leakage from the vagina, Nausea, Irritation in the external female genital organs, Vague feeling of being unwell or uncomfortable","If proper medical care is provided to the patient, fistulas can be treated and prevented. Different treatment options for fistula includes:",https://www.1mg.com/diseases/fistula-927
Leptospirosis,,Both men and women,"Heart
Liver
Kidneys
Eyes
Lungs
Brain","In humans, leptospirosis can cause a wide range of symptoms. The common symptoms of leptospirosis include:",Alternative treatments alongside conventional medical treatment for leptospirosis have proven to be beneficial in some cases. It includes:,https://www.1mg.com/diseases/leptospirosis-979
Baby colic,,Both male and female infants,,"It’s normal for babies to fuss and cry. Babies who have colic tend to cry more than other babies, even though they’re otherwise healthy. Features of colic can include:",,https://www.1mg.com/diseases/baby-colic-982
Myocarditis,,Both men and women,Heart,"Difficulty breathing or shortness of breath, Difficulty breathing, Flu-like symptoms (sore throat, headache, body aches, joint pain), Weakness, Rashes, Fever, People with myocarditis may not show any noticeable symptoms initially. Some of the common symptoms may include:, Diarrhea, Chest pain or discomfort, Infection-related fever, Stomach ache, Joint pain, Poor appetite, Edema (swelling in ankles, legs, or feet), Chronic cough, Palpitations or abnormal heartbeat, Sore throat",,https://www.1mg.com/diseases/myocarditis-945
Croup,,Both boys and girls but more common in boys,"Vocal cords (larynx)
Windpipe (trachea) 
The upper airways of the lungs",,,https://www.1mg.com/diseases/croup-992
Melanoma,,Both men and women,Skin,"A new mole, pigmented skin, or growth starts developing on your skin, Melanoma can develop anywhere on the body but is most common in sun-exposed areas like the face, arms, legs, and back. In darker skin tones, it may appear in less exposed areas such as the palms, soles, or nail beds, known as hidden melanomas. Some of the earliest symptoms of melanoma can be:, However, it is important to note that melanoma doesn’t always start from a mole. There are some easy ways to differentiate between a normal mole and a mole that can become cancerous.  To remember this, all you need to think of are the letters ABCDE:, A change or development in a pre-existing mole, ‘C’ stands for color:  Carcinogenic (cancerous) moles may show uneven or changing colors, so watch for unusual growths with irregular color patterns., ‘D’ stands for diameter: Usually, moles are about ¼ inch or 6 millimeters. Anything larger than that can be carcinogenic., ‘A’ stands for asymmetry: A potentially cancerous mole is often asymmetrical, with uneven halves and an irregular shape., ‘B’ stands for border: In a cancerous mole, the border will be irregular. It will not be circular or oval, like normal moles. Instead, it might have a notched or scalloped border., ‘E’ stands for evolving: The most significant indicator of a cancerous mole is that it changes over time. Try to see if the mole grows in size or changes its color. It might even change its shape or become itchy. In some cases, one might even note bleeding., Get expert opinions, find specialists, access medicines, book tests, and explore financial and patient support programs with Tata 1mg’s cancer care platform. Explore Here","In its early stages, the easiest way to treat melanoma is through surgery. However, when melanoma spreads beyond the skin, several different methods might get used for treatment in its later stages.",https://www.1mg.com/diseases/melanoma-320
Narcolepsy (Uncontrollable daytime sleepiness),,Both men and women,Brain,Narcolepsy can be classified into the following:,,https://www.1mg.com/diseases/narcolepsy-uncontrollable-daytime-sleepiness-416
Hiccups,,Both men and women but more common in men,"Diaphragm
Epiglottis
Nerves that supply the diaphragm","If any of the nerves involved in this cycle are triggered, for whatever reason, the diaphragm may contract involuntarily, allowing the air to be drawn into the lungs. As a result, epiglottis( the top of the windpipe) closes, resulting in the distinctive cough-like ‘hic’ hiccup sound., Diaphragm: It is a large muscle located below the lungs that demarcates the chest from the abdomen. It contracts rhythmically and continually to aid in respiration., The muscles that open and close the windpipe, The only symptom of hiccups is a slight tightening sensation in your chest, abdomen, or throat that causes the hiccup sound., The hiccup reflex involves the synchronized action of the, The nerves that act upon the diaphragm","The doctor will want to know if your hiccups are caused by a medical condition or medication you are taking. If the underlying problem is treated or you switch medications, the hiccups should go away. The underlying cause determines the pharmacological treatment, which may include:",https://www.1mg.com/diseases/hiccups-243
Bipolar disorder,,"Both men and women, but more common in women",Brain,"Being more active than usual ‘, Lack of energy, Lack of appetite, While dealing with a period of depression, the symptoms include:, Suicidal or self-harming thoughts, Disturbed or illogical thinking, Talking very quickly, Feelings of guilt and despair, Insomnia (hard to fall asleep), Easily irritated or agitated, The mania phase of bipolar disorder may include:, Excessive appetite for food, and drinks, Easily distracted, Waking up early, Difficulty in sleeping, Bipolar disorder is characterized by mood swings. The episodes of mania and depression can last from a few to several days. The intensity of symptoms can range from extreme highs (mania) to extreme lows (depression). They include:, Feeling hopeless, sad, or irritable most of the time, Feeling very happy or overjoyed, Difficulty in concentrating and remembering things, Loss of interest in everyday activities, Note: A person may experience episodes of depression more regularly than mania in bipolar disorder. Individuals may sometimes experience a normal mood, in between these episodes.",The primary step in the treatment of bipolar disorder is to confirm the diagnosis of mania or hypomania. Most people with bipolar disorder can be treated using a combination of different treatments involving:,https://www.1mg.com/diseases/bipolar-disorder-529
